id,category,volume_cm3,weight_grams,price_hellers,profit_hellers
0,Books,892,403,18318,3499
1,Books,866,251,10756,2986
2,Books,716,312,20635,4784
3,Books,2133,1309,27929,7800
4,Books,1241,325,52359,10358
5,Books,1504,438,60872,11198
6,Books,2581,767,27472,5666
7,Books,701,306,31051,5446
8,Books,1132,611,39689,13143
9,Books,3918,1904,36700,7555
10,Books,2089,682,28658,5070
11,Books,1121,604,38140,8450
12,Books,3300,868,32549,8569
13,Books,1687,574,24670,3921
14,Books,1723,387,32285,7369
15,Books,1098,310,41230,9084
16,Books,1907,1013,40099,7591
17,Books,685,254,30703,5096
18,Books,1210,406,72627,12653
19,Books,2401,795,10212,2171
20,Books,892,456,22716,3462
21,Books,687,355,26998,6581
22,Books,2875,1741,37292,8068
23,Books,1641,385,18840,3938
24,Books,480,205,21327,4008
25,Books,1019,731,61218,13044
26,Books,1350,539,52299,13509
27,Books,553,466,27816,5689
28,Books,3263,653,44000,8227
29,Books,2193,446,73895,14343
30,Books,1331,458,19537,3822
31,Books,1242,546,19884,3251
32,Books,1726,457,33071,6169
33,Books,1424,412,66249,15459
34,Books,1013,661,27223,3848
35,Books,824,567,94028,14139
36,Books,631,356,16810,2661
37,Books,1081,385,32408,6687
38,Books,1991,948,25681,4520
39,Books,1465,926,53741,9012
40,Books,1950,617,73993,15560
41,Books,792,219,27680,8224
42,Books,1927,584,31011,6941
43,Books,4600,1608,66076,15711
44,Books,1202,465,48978,7208
45,Books,982,330,43071,6502
46,Books,2116,1149,77778,15635
47,Books,1017,581,13971,3039
48,Books,693,233,16293,3104
49,Books,2383,805,44191,9632
50,Books,1693,691,31831,5767
51,Books,1725,577,57480,11051
52,Books,1414,889,118214,20978
53,Books,874,252,78576,13366
54,Books,1021,398,46646,7912
55,Books,1147,779,31237,5733
56,Books,556,245,37820,6983
57,Books,1883,667,30689,4840
58,Books,1144,396,24623,4646
59,Books,428,146,33685,7781
60,Books,638,456,15375,3236
61,Books,782,304,58285,12820
62,Books,2975,865,36346,6850
63,Books,681,335,46977,8574
64,Books,947,248,52459,9149
65,Books,1146,265,63606,13792
66,Books,1532,683,22363,4751
67,Books,1038,401,23261,4825
68,Books,1576,901,53973,11595
69,Books,1828,1108,32585,6688
70,Books,1835,613,61309,17890
71,Books,3519,1080,29333,5040
72,Books,3260,1044,37045,7944
73,Books,1275,379,15650,3828
74,Books,1937,1190,18715,3789
75,Books,1308,361,15198,2402
76,Books,2686,846,33381,6229
77,Books,899,779,55325,16255
78,Books,1279,483,55219,7490
